GiftId,TripId
45982,0
53929,0
12280,0
48111,0
41335,0
7768,0
79218,0
91535,0
21258,0
1309,0
7463,0
27209,0
68348,0
27673,0
92953,0
18459,0
77455,0
39478,0
3144,0
82276,0
49281,0
2924,0
71685,0
71077,0
33413,0
19527,0
44621,0
88946,0
44783,0
62881,0
45663,0
56472,0
76053,0
41111,0
86072,0
26962,0
96140,0
63223,0
82461,0
5347,0
70231,0
72532,0
14614,0
84435,0
59815,0
83058,0
67849,0
21883,0
9933,0
60794,0
39449,0
2304,0
36627,0
43691,0
8823,0
85158,0
9352,0
75450,0
96101,0
86620,0
48549,1
6806,1
2061,1
70379,1
47621,1
91411,1
18820,1
23348,1
75030,1
77603,1
32547,1
22480,1
62633,1
68243,1
12839,1
52203,1
92658,1
32290,1
80433,1
86719,1
3874,1
31059,1
82883,1
62248,1
78563,1
93610,1
57547,1
35518,1
47669,1
6344,1
98660,1
94248,1
29430,1
4513,1
81066,1
99621,1
8936,1
84201,1
10002,1
60176,1
26059,1
33196,1
2707,1
7711,1
6804,1
3252,1
72694,1
13488,1
31951,1
63454,1
28226,1
15072,1
36600,1
90858,1
63416,1
1325,1
58345,1
76589,1
30953,1
68254,1
64491,1
26486,1
62056,1
38267,1
93693,1
49571,1
70245,1
11358,2
41569,2
71292,2
2223,2
91335,2
47682,2
34653,2
55930,2
73739,2
59464,2
37077,2
93390,2
92745,2
9339,2
68540,2
61428,2
58066,2
47373,2
21647,2
32721,2
17915,2
61693,2
98382,2
42478,2
90303,2
74250,2
60887,2
42169,2
97542,2
91299,2
47178,2
95464,2
34130,2
16718,2
54254,2
59690,2
42731,2
71090,2
6518,2
97154,2
28355,2
45889,2
56658,2
2717,2
97289,2
6252,2
7798,2
90631,2
63555,2
94635,2
212,2
53194,2
60746,2
53584,2
36731,2
28280,2
10362,2
63731,2
970,2
6783,2
62150,2
69713,2
36810,2
76737,2
57434,3
50461,3
74617,3
95893,3
82311,3
52167,3
93314,3
87304,3
50049,3
85105,3
4728,3
97466,3
66615,3
35646,3
17004,3
46131,3
60591,3
38279,3
56216,3
71051,3
56684,3
30052,3
19391,3
30813,3
47399,3
6438,3
67013,3
26488,3
19539,3
59629,3
21577,3
26159,3
42727,3
29302,3
72396,3
16167,3
78525,3
27141,3
93551,3
46439,3
30405,3
59816,3
902,3
81632,3
32762,3
16110,3
2491,3
57063,3
39264,3
39720,3
85859,3
5520,3
82814,3
17461,3
55808,3
8662,3
38121,3
48140,3
69477,3
59638,3
51798,3
10372,3
95567,3
40777,3
84494,3
85110,4
50985,4
97098,4
62837,4
88424,4
35147,4
44009,4
123,4
99006,4
70019,4
76202,4
30694,4
23473,4
80358,4
13032,4
37645,4
62908,4
72959,4
55853,4
29648,4
31565,4
47425,4
97012,4
20257,4
42304,4
34268,4
17144,4
71011,4
76932,4
67819,4
82006,4
26029,4
83919,4
76829,4
74260,4
21911,4
44110,4
48749,4
8914,4
25620,4
5634,4
49717,4
29808,4
71800,4
15325,4
4263,4
73870,4
79240,4
17982,4
841,4
44024,4
80376,4
34035,4
12412,4
90265,4
91244,4
84974,4
28994,4
39902,4
3587,4
98390,4
5633,4
74094,5
36259,5
25847,5
70796,5
51098,5
82032,5
21011,5
77814,5
94102,5
12999,5
97562,5
91207,5
59083,5
78927,5
66518,5
66496,5
4424,5
96509,5
60223,5
20828,5
92923,5
26722,5
17218,5
39037,5
66964,5
62092,5
60782,5
58619,5
91075,5
83908,5
68587,5
53090,5
38059,5
79068,5
2094,5
53066,5
46254,5
37419,5
84853,5
47553,5
71418,5
43,5
14325,5
94264,5
3723,5
64813,5
96818,5
10406,5
90923,5
96436,5
10378,5
90192,5
54755,5
32084,5
32353,5
56215,5
90893,5
31050,5
62126,5
93471,5
44404,5
72074,5
34002,5
59905,5
52162,6
72898,6
69175,6
34253,6
57743,6
88212,6
45696,6
15838,6
43232,6
4014,6
93692,6
55580,6
80990,6
54663,6
78066,6
94642,6
81680,6
29544,6
3449,6
30110,6
58301,6
70194,6
55274,6
85231,6
46198,6
33687,6
10396,6
17279,6
86000,6
72689,6
19587,6
66840,6
35177,6
98039,6
82316,6
52519,6
56129,6
13402,6
78548,6
42962,6
29758,6
14065,6
20350,6
59192,6
43641,6
14101,6
97785,6
74279,6
97008,6
19614,6
48247,6
93871,6
67663,6
3104,6
93094,6
20168,6
46644,6
79564,6
42152,6
64604,6
88963,6
8333,6
16378,6
31567,6
42807,6
99790,6
66967,6
776,6
88792,6
83206,6
88125,6
2691,6
91998,6
5808,7
36741,7
22411,7
33498,7
80071,7
20952,7
52238,7
66788,7
63355,7
36024,7
93911,7
26323,7
88551,7
83583,7
54684,7
97834,7
24969,7
98355,7
2796,7
20658,7
63334,7
50822,7
79080,7
70122,7
67149,7
50711,7
34198,7
37354,7
9637,7
60653,7
25618,7
4374,7
99966,7
23919,7
9498,7
1255,7
35576,7
11048,7
55744,7
61127,7
68581,7
23471,7
49336,7
8925,7
30390,7
56846,7
54068,7
78405,7
8978,7
22499,7
48694,7
69801,7
69062,7
32197,7
45068,7
50829,7
93509,7
76444,7
99103,7
58574,7
87783,7
71385,7
40301,8
61462,8
46935,8
79751,8
59982,8
98429,8
16816,8
53462,8
4280,8
9799,8
88380,8
99535,8
47561,8
16849,8
66716,8
5498,8
97897,8
11151,8
71584,8
77688,8
99785,8
47954,8
5939,8
38432,8
82640,8
65015,8
29554,8
33430,8
7764,8
94215,8
13947,8
82231,8
87729,8
38983,8
13720,8
18276,8
66972,8
90707,8
6212,8
27964,8
16963,8
12396,8
90715,8
82379,8
69,8
59473,8
11333,8
17401,8
98356,8
97121,8
2528,8
37908,8
33870,8
19109,8
73952,8
97568,8
52350,8
64696,8
67654,8
2268,8
31167,8
27633,8
89523,8
12328,8
20669,8
67366,8
29403,8
59842,8
58654,8
62764,8
53688,8
35035,8
95350,8
97372,8
129,8
29257,8
77268,8
73613,9
32075,9
94252,9
91205,9
46333,9
64674,9
82828,9
62386,9
58878,9
6566,9
77786,9
65712,9
53849,9
55620,9
8588,9
89329,9
99695,9
85684,9
73540,9
92729,9
82046,9
50380,9
86260,9
12455,9
83170,9
45937,9
22583,9
81527,9
10049,9
31518,9
35577,9
45714,9
96942,9
13579,9
17220,9
59672,9
374,9
29135,9
95407,9
3159,9
73235,9
40361,9
11596,9
7879,9
69487,9
85401,9
63843,9
68149,9
34083,9
65494,9
45804,9
69397,9
79584,9
59183,9
48207,9
78345,9
83557,9
3093,9
54028,9
68363,9
40622,9
40153,9
24779,9
61748,10
98921,10
19531,10
65106,10
19941,10
6279,10
49812,10
20699,10
43820,10
1864,10
9296,10
86007,10
82197,10
74513,10
98746,10
55738,10
71079,10
58799,10
82739,10
87768,10
41389,10
55102,10
98324,10
22214,10
2305,10
86063,10
46571,10
54076,10
89277,10
25969,10
98193,10
52751,10
89445,10
25497,10
41322,10
64322,10
29810,10
59584,10
57084,10
70974,10
16961,10
97590,10
99260,10
45063,10
82581,10
83283,10
76247,10
26465,10
37769,10
36464,10
97063,10
45594,10
14852,10
30693,10
90482,10
22323,11
55026,11
64006,11
47786,11
9247,11
96793,11
20853,11
20360,11
43491,11
9494,11
97192,11
60787,11
38280,11
83237,11
80865,11
83661,11
19792,11
1644,11
98167,11
92717,11
82623,11
49252,11
23129,11
63655,11
39955,11
98546,11
55115,11
42709,11
39292,11
75775,11
17812,11
34094,11
45824,11
76277,11
79055,11
69202,11
80143,11
21016,11
36782,11
44217,11
63142,11
86451,11
13529,11
66248,11
49773,11
99615,11
45656,11
71696,11
58021,11
77238,11
67621,11
53613,11
73545,11
68759,11
13328,11
28261,11
70467,11
76782,11
41959,11
7391,11
10720,11
76353,11
78057,11
50710,11
88855,11
42725,11
57259,12
98642,12
63273,12
36573,12
41583,12
74544,12
46411,12
92592,12
87048,12
40427,12
67314,12
33537,12
15059,12
16835,12
7715,12
37063,12
54995,12
38761,12
27598,12
51895,12
44520,12
62830,12
94581,12
30351,12
69820,12
94687,12
67826,12
19586,12
20020,12
44470,12
67713,12
69133,12
70374,12
19026,12
75376,12
5643,12
16363,12
31793,12
88038,12
79803,12
77924,12
85202,12
64131,12
81175,12
36984,12
26531,12
83987,12
3844,12
89327,12
52623,12
15368,12
32930,12
67612,12
41786,12
81690,12
21550,12
85463,12
22621,12
80061,12
23117,12
22002,12
28721,12
7076,12
65516,12
58378,12
72336,12
7423,12
62568,12
99727,12
72324,12
38710,12
14397,12
76634,12
50858,12
23054,13
59710,13
90814,13
74681,13
14271,13
16824,13
549,13
46250,13
74455,13
65849,13
43440,13
526,13
12094,13
55871,13
66457,13
19925,13
61436,13
77509,13
96274,13
94104,13
1606,13
24899,13
34325,13
97679,13
57392,13
28466,13
91610,13
65157,13
40475,13
85845,13
843,13
11713,13
24181,13
43855,13
40506,13
47962,13
48841,13
37459,13
25714,13
92049,13
13589,13
14395,13
21439,13
8834,13
74209,13
48395,13
98547,13
5644,13
2895,13
3986,13
75685,13
60490,13
72734,13
37900,13
67398,13
72574,13
87045,13
92981,13
97913,14
43603,14
46540,14
3543,14
79725,14
81159,14
74747,14
12432,14
21875,14
89875,14
22116,14
7286,14
75945,14
81961,14
65735,14
50783,14
88598,14
10902,14
84956,14
79364,14
12005,14
82830,14
79799,14
8121,14
63284,14
18419,14
83410,14
4625,14
35641,14
70292,14
8281,14
66400,14
44159,14
62349,14
27107,14
32011,14
18687,14
78153,14
86574,14
94866,14
97099,14
70286,14
16786,14
91961,14
59447,14
47018,14
71506,14
67991,14
79124,14
13887,14
59404,14
18905,14
52656,14
26886,14
5897,14
5289,14
86847,14
77323,14
5536,14
16368,14
98707,14
18781,14
22120,14
99400,14
49732,14
23315,14
18809,14
31730,14
81722,14
69901,14
19063,14
60663,14
52665,14
58723,14
89859,14
18943,14
32133,14
60399,14
30078,14
90459,14
57997,15
33839,15
51689,15
84805,15
4334,15
85902,15
80823,15
75301,15
72566,15
99873,15
3291,15
1531,15
13601,15
74115,15
58300,15
51934,15
43067,15
39644,15
9146,15
67687,15
16006,15
45176,15
86425,15
96278,15
90914,15
58923,15
32514,15
66319,15
42211,15
1983,15
17821,15
54885,15
92847,15
98844,15
36368,15
70588,15
15658,15
38741,15
93751,15
72602,15
60650,15
36661,15
69311,15
12905,15
67335,15
48622,15
21193,15
7907,15
60417,15
16254,15
58016,15
61260,15
3971,15
17514,15
83192,15
51227,15
54007,15
84587,15
57506,15
50840,15
16967,15
80901,15
86372,15
27145,15
81933,15
93713,15
69514,16
34547,16
88268,16
89161,16
67338,16
85568,16
480,16
17414,16
43803,16
21183,16
66356,16
12754,16
96601,16
97854,16
65155,16
96174,16
52620,16
29142,16
62083,16
20796,16
45486,16
71963,16
3923,16
90635,16
55812,16
86407,16
75400,16
34826,16
97727,16
31732,16
47837,16
55293,16
16026,16
2241,16
48423,16
62693,16
2377,16
58251,16
84563,16
33802,16
42452,16
54864,16
73408,16
96472,16
48550,16
42416,16
47159,16
77591,16
6509,16
93709,16
24222,16
71726,16
46727,16
58946,16
51865,16
60644,16
71755,16
45204,16
81295,16
50674,16
80425,16
90548,16
55248,16
32316,16
39332,16
85323,16
76093,16
19323,16
64351,16
69662,16
14115,16
99543,16
72787,16
98244,16
77253,16
38352,17
14210,17
15617,17
10281,17
74121,17
41582,17
67785,17
59914,17
66834,17
70005,17
39241,17
16219,17
40467,17
25180,17
62590,17
40687,17
66883,17
86070,17
64390,17
6021,17
12842,17
4697,17
10695,17
13904,17
43097,17
22021,17
6489,17
91170,17
61917,17
88370,17
80336,17
63354,17
95891,17
29373,17
91206,17
60703,17
81966,17
40483,17
80357,17
93091,17
55379,17
77888,17
89731,17
19370,17
34712,17
45384,17
82701,17
98376,17
14274,17
82747,17
4100,17
86043,17
89354,17
15665,17
69996,17
41482,17
30308,17
14655,17
54196,17
37984,17
66875,17
12549,17
80564,17
91296,17
98545,17
19582,17
21068,17
77525,17
75999,17
3174,17
85404,17
35536,18
31980,18
38366,18
46279,18
63582,18
45874,18
63916,18
30869,18
98658,18
11745,18
64915,18
2558,18
27363,18
60124,18
82481,18
51370,18
37431,18
76363,18
18656,18
13292,18
35096,18
85717,18
7749,18
41007,18
31408,18
30127,18
3787,18
86185,18
39978,18
62098,18
5635,18
9305,18
32252,18
60880,18
48103,18
1831,18
8708,18
1272,18
28037,18
20104,18
44267,18
79131,18
99382,18
72173,18
99598,18
13419,18
50450,18
5507,18
52466,18
72806,18
44340,18
46838,18
24706,18
11721,18
68617,18
33704,18
90897,18
53226,18
8026,18
34445,18
62119,18
45228,18
23012,18
26916,18
46830,18
37736,18
41024,19
65901,19
63403,19
40634,19
72655,19
49882,19
32707,19
41009,19
40943,19
4924,19
14167,19
29226,19
20232,19
90077,19
47234,19
65973,19
11802,19
76320,19
83631,19
89299,19
9344,19
8047,19
87241,19
92684,19
24693,19
88642,19
40880,19
64806,19
81787,19
41964,19
23367,19
14248,19
84378,19
78143,19
27517,19
65914,19
30879,19
5647,19
65893,19
99144,19
86889,19
75066,19
95827,19
86266,19
15037,19
57765,19
78194,19
66784,19
92649,19
28363,19
69954,19
37305,19
68031,19
12835,19
70429,19
29223,19
6036,19
80204,19
2630,19
90998,19
63086,19
24914,20
61584,20
76321,20
61161,20
75947,20
41209,20
65944,20
39841,20
66970,20
48381,20
60963,20
15994,20
37853,20
57516,20
34357,20
98359,20
23815,20
50350,20
18799,20
7014,20
37458,20
23016,20
22398,20
62618,20
