GiftId,TripId
8677,0
18900,0
70517,0
26034,0
90157,0
24443,0
35588,0
94264,0
13737,0
93124,0
58934,0
92062,0
14832,0
4849,0
3086,0
94437,0
36119,0
4143,0
8152,0
81634,1
49770,1
19365,1
61070,1
1757,2
2455,2
77503,2
68932,2
31512,2
6709,2
50438,2
92392,2
81282,2
60274,3
53507,3
46343,4
19024,4
41519,4
13332,4
60777,4
81443,4
71125,4
50885,4
45116,4
42231,4
58457,4
26292,4
57948,4
81606,4
25510,4
50321,5
7755,5
8670,5
81914,5
66286,5
9136,5
7405,5
72392,6
83760,6
65951,6
22393,6
40422,6
99288,7
32990,7
55820,7
4078,7
71763,7
45235,8
66422,8
93903,8
69567,8
32680,8
55924,8
14463,8
17599,9
1304,9
38575,9
75670,10
47404,10
5496,10
20119,11
35170,11
62482,11
46420,11
30341,11
69683,11
41477,12
82150,12
54101,12
74865,12
86348,13
61916,13
50900,13
36303,13
33455,13
84272,13
59232,14
43836,14
96665,14
94553,14
18211,14
81700,14
53625,14
95405,15
80042,15
68073,15
44109,15
46455,15
4586,16
35332,17
50468,17
26041,17
90110,17
13884,17
43251,17
30643,17
8736,17
68697,17
22235,17
85313,18
80151,18
86426,19
69910,20
30958,21
75077,21
62132,21
24372,21
39900,22
63680,22
40758,22
89626,22
16422,22
7664,22
45247,23
73347,24
73787,24
43660,25
40558,25
26718,25
90387,25
66483,25
24255,25
66764,25
89214,26
68467,26
89276,26
62769,26
25125,26
48829,26
3896,27
27797,28
62294,29
75190,30
82134,30
33966,30
45836,30
70433,30
13193,30
30544,30
85387,30
54519,30
27462,30
32996,30
97756,30
59467,30
16151,30
3473,30
71252,30
23322,30
39696,30
75910,30
17062,30
14913,30
27839,31
12705,31
2461,31
48419,32
87408,33
20604,33
98468,33
23562,33
30831,34
92305,34
83735,34
97383,34
50470,34
9605,34
37533,34
48125,34
21109,34
94944,34
70117,34
21522,35
66226,35
70813,36
74799,36
4553,36
26252,37
85940,37
81343,37
95713,38
24618,38
20027,38
9388,39
48931,39
81866,39
75820,40
97978,40
35109,40
25443,40
29296,40
46511,41
18224,41
25225,41
50609,42
53705,42
96661,42
70561,42
31541,42
88578,42
86144,42
67368,42
76339,42
99766,42
27511,43
95433,43
80048,43
58863,43
38906,43
45283,43
84447,44
51972,44
73989,44
83874,45
34820,46
10740,46
31387,46
31004,46
9541,46
51870,46
53927,46
73005,46
36751,46
72452,46
4391,46
22450,46
91148,46
89747,47
9972,47
19670,47
87525,47
9614,47
34023,47
2614,47
12384,47
68504,47
1362,47
30033,47
27397,47
68085,47
2634,47
56111,47
84889,47
8079,47
33007,48
8744,48
93104,48
77873,48
32276,48
4114,48
36484,48
76578,48
5889,48
65193,48
61365,48
26125,48
71783,48
44646,48
43742,48
36143,48
12187,48
94752,48
53770,48
83715,48
11479,48
80760,49
60221,49
53161,49
56690,49
64155,49
98363,49
2600,49
15075,49
24077,49
74472,49
60874,49
33800,49
401,49
89246,49
27320,50
20988,50
20684,50
92950,50
28560,50
2021,50
4063,50
41358,50
46475,51
64031,51
26213,51
88100,52
22476,52
64317,52
65879,52
16622,53
9589,53
95346,53
59578,53
59231,53
22056,53
18614,54
90153,54
23109,54
37188,54
63502,55
95990,55
29275,55
24140,55
71586,55
734,55
54245,55
4678,55
63099,55
69093,55
51204,55
17713,55
19144,55
11135,55
6779,55
27021,55
31816,55
44862,55
32771,55
74528,55
52653,56
23888,56
18804,56
39668,56
73553,56
29208,56
62255,56
61018,56
67712,56
83733,56
30978,56
3777,57
66519,58
7364,58
32167,58
83555,58
23788,58
53213,58
58064,58
46798,58
22756,58
80379,58
615,58
38502,58
92535,59
88494,59
27204,59
41069,59
18941,59
99991,59
41453,59
20316,59
86892,59
95409,59
66227,59
93001,59
45650,60
90121,60
40631,60
95522,60
73738,60
18868,61
30015,62
56879,62
66476,62
14810,62
8174,63
39711,63
801,63
53667,64
39430,65
52002,65
51363,65
98346,66
67877,66
56345,66
79918,66
69285,66
4416,67
11796,68
99898,68
34685,68
41822,68
70481,69
8650,69
4764,69
80132,69
18079,69
18465,69
59811,69
11276,69
55731,69
77874,69
43898,70
35435,70
86704,70
38860,70
57563,70
15295,70
30098,71
43376,71
21457,71
69833,71
23443,71
85080,72
47010,72
29803,72
89765,72
19888,72
63348,72
25834,72
83931,73
31062,74
82012,74
98572,74
36158,74
71040,74
59169,74
9868,74
11026,74
99227,74
63661,75
30681,75
39213,75
35656,76
45935,77
46565,77
20327,77
91406,77
59259,77
69489,77
26155,77
69313,78
76670,78
11033,78
34152,78
38041,78
19038,78
73310,79
67249,79
25366,79
89607,80
10987,80
15794,81
49695,82
92893,83
