GiftId,TripId
1,0
2740,0
7256,0
10045,0
14742,0
15819,0
19096,0
20229,0
23509,0
24471,0
27379,0
31713,0
37923,0
38039,0
38753,0
41620,0
45791,0
48691,0
49133,0
53847,0
59401,0
66870,0
67727,0
68098,0
68299,0
70059,0
71477,0
75391,0
76325,0
76768,0
78917,0
79953,0
80168,0
83870,0
83958,0
87105,0
92317,0
96495,0
97243,0
99066,0
2,1
5976,1
7029,1
9271,1
9859,1
10271,1
11082,1
11326,1
11466,1
18230,1
25655,1
25813,1
26190,1
27326,1
31608,1
34162,1
42444,1
43537,1
44017,1
44316,1
44788,1
48975,1
51870,1
53692,1
54395,1
59163,1
60531,1
63184,1
63887,1
66740,1
67579,1
67689,1
75103,1
76787,1
77711,1
79212,1
82845,1
82912,1
83905,1
87183,1
88589,1
92940,1
93199,1
93413,1
95717,1
3,2
9662,2
10081,2
11409,2
13658,2
14675,2
17168,2
17510,2
18732,2
23190,2
26162,2
26712,2
27883,2
28494,2
31237,2
34246,2
35146,2
36932,2
39375,2
39801,2
42410,2
42419,2
43514,2
44663,2
45074,2
50217,2
51045,2
53858,2
58358,2
59236,2
62449,2
62887,2
63705,2
65196,2
66235,2
67543,2
68109,2
69983,2
71731,2
71740,2
72354,2
74893,2
78245,2
80149,2
82072,2
82890,2
84508,2
86177,2
89084,2
90205,2
96493,2
4,3
86,3
5603,3
6336,3
8853,3
10550,3
17370,3
17966,3
19460,3
21294,3
26261,3
28241,3
28440,3
29873,3
30171,3
31529,3
35728,3
40084,3
43150,3
46522,3
47620,3
47642,3
48737,3
49957,3
56237,3
64457,3
74393,3
76898,3
77007,3
80342,3
82080,3
85495,3
85651,3
86104,3
86597,3
87980,3
98195,3
5,4
2853,4
3292,4
13351,4
21151,4
21496,4
21999,4
25926,4
27133,4
28019,4
31139,4
34635,4
35466,4
37034,4
45782,4
48030,4
48295,4
54998,4
59660,4
59706,4
62848,4
76564,4
78548,4
84930,4
87155,4
90377,4
92749,4
98144,4
98456,4
99723,4
6,5
531,5
4687,5
4692,5
9900,5
11518,5
11724,5
14025,5
17735,5
22033,5
24264,5
25375,5
35143,5
36678,5
37590,5
50141,5
52653,5
53184,5
60612,5
63607,5
69119,5
78756,5
78800,5
79144,5
80582,5
81735,5
82551,5
83839,5
86093,5
99453,5
99655,5
99892,5
99909,5
94957,5
98745,5
99834,5
99864,5
96293,5
99510,5
97985,5
99391,5
99668,5
94231,5
98040,5
94706,5
98049,5
98364,5
97659,5
94432,5
7,6
14230,6
16958,6
19456,6
19805,6
20974,6
25818,6
26389,6
29955,6
35069,6
35722,6
46324,6
49703,6
51537,6
51553,6
54086,6
56936,6
58187,6
59411,6
70665,6
74523,6
82095,6
83443,6
86641,6
88023,6
95150,6
96342,6
97238,6
97325,6
97380,6
8,7
887,7
4287,7
5788,7
5965,7
5990,7
6238,7
6413,7
8622,7
11258,7
15665,7
15784,7
15860,7
16323,7
19002,7
19675,7
22762,7
24276,7
26686,7
30160,7
31656,7
34545,7
34583,7
34625,7
38214,7
41457,7
44325,7
44400,7
44414,7
45128,7
45861,7
48713,7
57015,7
57556,7
59309,7
59538,7
60574,7
61305,7
62421,7
65212,7
71684,7
76235,7
77423,7
81511,7
82104,7
82505,7
85556,7
85931,7
86889,7
94328,7
95598,7
9,8
990,8
25338,8
26827,8
28360,8
30041,8
36947,8
42744,8
43176,8
45707,8
48757,8
50850,8
56795,8
57179,8
57286,8
61862,8
62953,8
65874,8
67362,8
68790,8
77418,8
86764,8
87264,8
90340,8
93374,8
93648,8
97368,8
97488,8
10,9
1632,9
4102,9
5528,9
5571,9
12763,9
13301,9
13992,9
16715,9
19124,9
19923,9
21195,9
27794,9
28694,9
29161,9
29580,9
30088,9
32529,9
35221,9
36837,9
39565,9
44339,9
46775,9
47718,9
47875,9
48418,9
50687,9
54123,9
66580,9
67870,9
71285,9
72895,9
82800,9
85186,9
85201,9
85461,9
85744,9
87174,9
87495,9
88446,9
90647,9
92360,9
96009,9
98161,9
98204,9
98863,9
11,10
4598,10
5204,10
7727,10
9773,10
9980,10
12240,10
21276,10
22080,10
23239,10
25181,10
31352,10
41611,10
45108,10
45508,10
51481,10
59209,10
65118,10
68507,10
71867,10
83262,10
91016,10
98084,10
12,11
637,11
3157,11
3864,11
4673,11
10589,11
18944,11
19500,11
21899,11
24532,11
28596,11
32709,11
34232,11
34553,11
35093,11
35612,11
36388,11
41813,11
45826,11
50276,11
56973,11
59960,11
62829,11
63915,11
66515,11
66650,11
69580,11
76866,11
81445,11
84008,11
84049,11
85233,11
90003,11
95225,11
98299,11
99405,11
99516,11
95702,11
96292,11
13,12
2279,12
11321,12
13343,12
17273,12
18319,12
26571,12
27943,12
34935,12
36333,12
36391,12
37679,12
39258,12
40032,12
40261,12
42724,12
43451,12
43971,12
45632,12
51129,12
52697,12
62960,12
66263,12
88241,12
95314,12
95971,12
14,13
822,13
1837,13
6105,13
11934,13
16597,13
19027,13
24216,13
24636,13
26795,13
27181,13
34242,13
38166,13
38771,13
42802,13
47428,13
51939,13
53056,13
64926,13
65647,13
66456,13
72314,13
82315,13
86261,13
87057,13
88719,13
89387,13
92630,13
95268,13
92555,13
93678,13
15,14
14410,14
22521,14
22650,14
23000,14
24570,14
26272,14
27737,14
47272,14
48276,14
58177,14
65563,14
66404,14
69804,14
69971,14
73500,14
74067,14
77209,14
77987,14
94587,14
95783,14
90202,14
16,15
9015,15
9458,15
11035,15
13419,15
14573,15
19067,15
21279,15
21584,15
22840,15
29602,15
35345,15
36629,15
38044,15
38990,15
49668,15
50482,15
59529,15
60975,15
60997,15
63041,15
66792,15
73410,15
73700,15
75821,15
77034,15
77199,15
77252,15
77561,15
85767,15
94811,15
96991,15
89756,15
17,16
1540,16
9291,16
14074,16
14215,16
14885,16
15233,16
25653,16
32553,16
39827,16
40857,16
46851,16
49880,16
52580,16
54362,16
55812,16
57482,16
57946,16
62637,16
75515,16
76141,16
76425,16
76655,16
77888,16
83631,16
84876,16
88468,16
96956,16
88862,16
18,17
4001,17
10213,17
10531,17
16496,17
20641,17
22637,17
23232,17
24311,17
24896,17
24982,17
26485,17
37725,17
38009,17
38778,17
42076,17
46767,17
55748,17
57253,17
62371,17
75231,17
78176,17
81250,17
84022,17
94130,17
95032,17
95847,17
88514,17
19,18
377,18
482,18
1596,18
4451,18
12255,18
13742,18
14604,18
16486,18
18356,18
23992,18
24266,18
28215,18
29914,18
31369,18
31888,18
32773,18
32837,18
36675,18
38942,18
40806,18
41141,18
41268,18
41984,18
42927,18
43816,18
46546,18
47727,18
52033,18
54700,18
55396,18
56666,18
58495,18
58733,18
62362,18
62600,18
63899,18
65498,18
69666,18
76353,18
80073,18
80442,18
81323,18
85954,18
88821,18
93569,18
94360,18
96674,18
20,19
6416,19
12399,19
13706,19
25530,19
31972,19
44419,19
61068,19
61733,19
66297,19
83359,19
83603,19
86132,19
86407,19
88264,19
21,20
3254,20
3969,20
6879,20
8059,20
9911,20
10070,20
18650,20
28018,20
29663,20
31268,20
39771,20
40281,20
50268,20
50521,20
55751,20
62178,20
62810,20
64556,20
65306,20
67924,20
78881,20
80758,20
80828,20
81075,20
81333,20
84067,20
89460,20
87146,20
22,21
2115,21
2336,21
17485,21
19009,21
21942,21
22001,21
23423,21
24428,21
30671,21
33563,21
34446,21
35968,21
37556,21
39620,21
40458,21
40804,21
42829,21
48363,21
50717,21
51455,21
51877,21
52465,21
58181,21
58330,21
61662,21
62649,21
68620,21
71637,21
74972,21
75674,21
79309,21
82074,21
84101,21
84700,21
87291,21
91782,21
93079,21
95490,21
97999,21
23,22
2973,22
5368,22
5934,22
6753,22
7642,22
12621,22
14218,22
14685,22
15884,22
20908,22
24086,22
25345,22
25685,22
29175,22
29208,22
32233,22
32488,22
33461,22
35058,22
36439,22
38152,22
38171,22
38548,22
46551,22
47934,22
59489,22
60041,22
62162,22
63265,22
63659,22
65562,22
73486,22
77496,22
77903,22
80862,22
81019,22
81955,22
84296,22
86784,22
87963,22
90057,22
90218,22
91776,22
94832,22
99593,22
24,23
6050,23
10198,23
11108,23
12525,23
12758,23
16058,23
16590,23
22279,23
28301,23
29236,23
29629,23
29632,23
30929,23
31014,23
34360,23
38847,23
39321,23
40060,23
41006,23
46246,23
48956,23
49452,23
50384,23
51929,23
54096,23
54288,23
59176,23
63973,23
64195,23
65089,23
65675,23
66082,23
68016,23
69122,23
72658,23
76071,23
79357,23
80686,23
81359,23
83750,23
89099,23
91061,23
91723,23
92191,23
93664,23
96273,23
25,24
3345,24
5424,24
6781,24
7650,24
10327,24
10573,24
13433,24
13768,24
15567,24
16085,24
16092,24
16755,24
17834,24
23065,24
24248,24
27562,24
28438,24
29908,24
33183,24
38360,24
40763,24
42592,24
43627,24
49096,24
50087,24
51987,24
52579,24
56928,24
57719,24
58943,24
59248,24
63859,24
68079,24
69371,24
69399,24
69968,24
70262,24
71521,24
72541,24
74385,24
75859,24
82634,24
87428,24
89695,24
91109,24
94142,24
96014,24
99129,24
26,25
3270,25
5735,25
7297,25
7419,25
8617,25
9585,25
13530,25
16030,25
16977,25
17744,25
18015,25
